lon,taken_at,updated_at,internal_category,tags,views,owner_realname,photo_id,lat,owner,photopage_url
51.677584,2006-12-22 12:07:33,2010-09-09 03:16:50,iran,"iran,minaret,islam,persia,iranian,ایران,esfahan,isfahan,اصفهان,مسجد,پرنده,ایرانی,اسلام,منار,پرواز,آزادی,aliehs,alieh,abigfave,ایرانیان,پرشیا,عالیه",3544,Alieh Saadatpour,336059320_e69df82246.jpg,32.654714,54722749@N00,http://www.flickr.com/photos/alieh/336059320/
51.385835,2007-11-23 15:18:50,2010-09-09 18:41:27,iran,"bridge,blue,sky,tower,highway,iran,tehran,dri,hdr,milad,ميلاد,برج,multiexposure,تهران,میلاد,telecommuncation",19922,Hamed Saber,2066579170_c65d4f365e.jpg,35.741322,44124425616@N01,http://www.flickr.com/photos/hamed/2066579170/
51.68577,2007-09-28 13:46:37,2010-08-28 07:56:08,iran,"color,art,geometric,wall,architecture,painting,persian,paint,pattern,iran,persia,iranian,ایران,esfahan,oldcity,islamic,isfahan,اصفهان,ایرانی,اسلامی,هنر,سقف,معماری,hamzeh,نقاشی,avision,imamzadeh,karbasi,hamzehkarbasi,دیوار,حمزه,کرباسی,اصفهانی,isfahanian,حمزهکرباسی,thebestofday,gününenİyisi,imamzadehismael,امامزادهاسماعیل,213flickrexplore",6454,Hamzeh Karbasi Zadeh,2229278612_ca4344082a.jpg,32.663222,53047624@N00,http://www.flickr.com/photos/hamzeh/2229278612/
51.201405,2008-07-11 06:30:06,2010-08-15 01:25:07,iran,"blue,sky,cloud,sun,west,green,nature,view,iran,taxi,sony,structure,greens,tehran,ایران,hdr,highdynamicrange,نور,cloudysky,samand,h9,درخت,تهران,سبز,ساختمان,niayesh,نیایش,mehrad,آسمان,تاکسی,ایرانیان,سمند,خورشید,iranianpeople,مهراد,اشعه,اتوبان,mehradhm,اشرفیاصفهانی,تیرچراغبرق,cloudyskytehran,skytehran,اتوباننیایش,تشعشع,اینبالاییخندهدارهنه,viewoftehran,httpwwwflickrcomgroupsiranianpeople,groupsiranianpeople",13770,Mehrad Heidari Monfared,2661013072_b93a59276f.jpg,35.461399,14535004@N04,http://www.flickr.com/photos/mehradhm/2661013072/
51.678743,2007-01-29 01:30:59,2010-08-10 10:55:16,iran,"light,window,silhouette,architecture,dance,flickr,pattern,iran,mosque,explore,ایران,esfahan,oldcity,نور,isfahan,اصفهان,مسجد,نقش,naghshejahan,رقص,شیخ,hamzeh,نقوش,karbasi,lutfollah,حمزه,ضدنور,کرباسی,شیخلطفالله,sheykhlotfolah,reyhaneh,322onflickrexplore,سیاهه",14107,Hamzeh Karbasi Zadeh,2327646374_f8c7ec6d7e.jpg,32.657442,53047624@N00,http://www.flickr.com/photos/hamzeh/2327646374/
51.674365,2007-07-09 18:16:48,2010-09-04 18:02:23,iran,"sunset,sky,cloud,beauty,persian,iran,persia,mosque,iranian,ایران,esfahan,isfahan,اصفهان,مسجد,غروب,ایرانی,ابر,پشت,آسمان,hamzeh,hakimmosque,aliehs,alieh,abigfave,ایرانیان,karbasi,بام,عالیه,اصفهانی,مسجدحکیم,پشتبام,welldone123",3135,Alieh Saadatpour,770675119_5b6e469dd4.jpg,32.663277,54722749@N00,http://www.flickr.com/photos/alieh/770675119/
51.379065,2007-12-17 11:46:49,2010-07-27 10:03:58,iran,"motion,reflection,building,tower,rain,sepia,clouds,truck,highway,iran,tehran,ایران,milad,miladtower,برج,تهران,میلاد,hemmat,همت,بزرگراه",17991,Hamed Saber,2120544345_6d6840bcce.jpg,35.750017,44124425616@N01,http://www.flickr.com/photos/hamed/2120544345/
-113.510742,2008-03-04 14:59:41,2010-09-19 13:19:06,iran,"food,canada,dinner,lunch,cuisine,persian,edmonton,iran,persia,eat,to,iranian,tehran,2008,cuisines,persianfood,readytoeat,persiancuisine,مرصع,پلو,مرصعپلو",7267,Mohammadali f.,2311703572_823814acd2.jpg,53.553362,93154619@N00,http://www.flickr.com/photos/mfakheri/2311703572/
51.676297,2008-01-18 13:12:20,2010-05-18 02:38:18,iran,"architecture,persian,hand,iran,persia,mosque,muharram,iranian,ایران,esfahan,isfahan,ashoura,اصفهان,مسجد,ایرانی,عاشورا,دست,محرم,تاسوعا,میدان,aliehs,alieh,ایرانیان,میداننقشجهان,پرشیا,سیاهسفید,tasoua,عالیه,yahussein,مسجدجامععباسی,اصفهانی,ظهرعاشورا",2858,Alieh Saadatpour,2207219374_5f53dcbba7.jpg,32.656791,54722749@N00,http://www.flickr.com/photos/alieh/2207219374/
51.460111,2007-09-27 20:51:20,2010-09-09 18:33:01,iran,"red,orange,flower,green,frutas,rose,yellow,persian,interestingness,lemon,hands,strawberry,iran,pray,eid,fast,persia,banana,holy,saber,jelly,iranian,tehran,melon,ایران,hamed,ramadhan,fitr,iftar,ramazan,farsi,عيد,ايران,تهران,حامد,مبروك,flickrexplore,مبارك,رمضان,eftar,fetr,فطر,فارسی,ايراني,فارسي,ايرانيان,حامدصابر,صابر,ایرانیان,پرشيا,پرشیا",74084,Hamed Saber,1552383685_56e2ae46c7.jpg,35.820523,44124425616@N01,http://www.flickr.com/photos/hamed/1552383685/
